stress,defect_size,distance_from_surface,defect_circularity,N,cycle
400.0,95.0,0.0,1.0,256343.0,5.408821463
400.0,117.0,0.0,0.25,197813.0,5.296254829
360.0,132.0,0.0,1.0,386505.0,5.587155117
360.0,132.0,0.0,1.0,325494.0,5.512542987
330.0,65.0,0.0,0.0625,685035.0,5.835712761
330.0,75.0,0.0,1.0,1132450.0,6.054019036
330.0,87.0,0.0,1.0,2070000.0,6.315970345
300.0,77.0,0.0,1.0,1693514.0,6.228788791
270.0,171.0,0.0,0.25,531367.0,5.72539458
270.0,161.0,22.0,1.0,3203205.0,6.505584734
270.0,122.0,0.0,0.25,1177378.0,6.070915917
270.0,112.0,0.0,1.0,1740238.0,6.240608648
265.0,159.0,0.0,0.25,844247.0,5.926469526
240.0,159.0,0.0,1.0,158626.0,5.200374373
400.0,99.0,0.0,1.0,160147.0,5.204518808
400.0,99.0,0.0,1.0,160147.0,5.204518808
360.0,114.0,0.0,1.0,217438.0,5.337335445
330.0,85.0,0.0,0.25,457527.0,5.660416728
330.0,99.0,0.0,0.11111,224054.0,5.350352702
300.0,132.0,0.0,0.04,428313.0,5.631761256
300.0,99.0,0.0,0.25,1105656.0,6.043620027
270.0,122.0,0.0,1.0,848216.0,5.92850646
270.0,132.0,0.0,0.0625,408326.0,5.611007034
270.0,114.0,0.0,0.0625,485625.0,5.686301036
270.0,74.0,0.0,1.0,740106.0,5.869293925
270.0,81.0,0.0,0.111111,586142.0,5.768002842
270.0,99.0,0.0,1.0,501991.0,5.700695931
270.0,109.0,0.0,0.11111,490196.0,5.690369763
240.0,94.0,0.0,0.11111,3026567.0,6.480950292
210.0,87.0,0.0,0.11111,3026567.0,6.480950292
150.0,60.0,0.0,0.11111,2706377.0,6.432388294
360.0,105.0,0.0,0.25,134677.0,5.129293434
330.0,137.0,0.0,0.25,271436.0,5.433667447
330.0,112.0,0.0,1.0,123424.0,5.091399617
330.0,123.0,0.0,0.25,565665.0,5.752559308
300.0,161.0,0.0,1.0,201496.0,5.304266429
270.0,119.0,0.0,0.25,429166.0,5.632625308
270.0,91.0,0.0,0.11111,333764.0,5.523439492
270.0,116.0,0.0,0.25,332731.0,5.522093265
270.0,157.0,0.0,1.0,487620.0,5.68808151
240.0,139.0,0.0,0.11111,655955.0,5.816874047
240.0,157.0,0.0,0.25,546957.0,5.737953185
240.0,78.0,0.0,0.25,929952.0,5.968460533
210.0,127.0,0.0,0.25,608116.0,5.78398643
100.0,64.69,14.7,0.31,7940.0,3.899820502
90.0,152.8,64.78,0.323,393000.0,5.59439255
80.0,119.1,93.74,0.164,475000.0,5.67669361
100.0,95.25,9.35,0.101,124000000.0,8.093421685
90.0,120.5,50.5,0.275,386000.0,5.586587305
70.0,91.08,65.65,0.469,378000.0,5.5774918
153.0,81.85,63.8,0.499,418000.0,5.621176282
85.0,58.77,6.436,0.318,372000.0,5.57054294
82.0,225.4,0.0,0.446,762000.0,5.881954971
70.0,77.49,83.8,0.167,763000.0,5.882524538
70.0,57.65,8.19,0.168,399000.0,5.600972896
60.0,146.9,232.0,0.36,2900000.0,6.462397998
60.0,124.7,31.72,0.389,199000.0,5.298853076
75.0,75.9,0.0,0.653,245000.0,5.389166084
114.0,253.4,25.31,0.544,843000.0,5.925827575
62.0,67.82,0.0,0.703,1240000.0,6.093421685
60.0,110.5,4.734,0.33,811000.0,5.909020854
62.0,89.93,0.0,0.464,718000.0,5.856124444
40.0,132.6,31.9,0.392,1440000.0,6.158362492
40.0,86.0,0.0,0.352,1310000.0,6.117271296
45.0,151.9,563.7,0.543,1720000.0,6.235528447
46.0,97.85,83.29,0.265,493000.0,5.692846919
48.0,67.95,9.5,0.511,586000.0,5.767897616
42.0,94.85,0.0,0.744,531000.0,5.725094521
42.0,120.4,13.74,0.357,1100000.0,6.041392685
114.0,53.11,47.07,0.635,420000.0,5.62324929
135.0,71.91,23.17,0.466,372000.0,5.57054294
100.0,89.08,30.5,0.366,423000.0,5.626340367
70.0,59.91,264.1,0.736,4200000.0,6.62324929
60.0,47.92,57.07,0.549,632000.0,5.800717078
60.0,48.65,0.0,0.444,1650000.0,6.217483944
50.0,62.16,19.5,0.423,1100000.0,6.041392685
50.0,49.68,54.97,0.508,159000.0,5.201397124
39.0,43.99,3.149,0.517,1660000.0,6.220108088
